ID,Binomial,SpNo,TaxonID,CommonName,Class,Order,Family,FamilyCommonName,Genus,Species,Subspecies,FunctionalGroup,TaxonomicGroup,EPBCStatus,IUCNStatus,BirdActionPlanStatus,MaxStatus,State,Region,RegionCentroidLatitude,RegionCentroidLongitude,RegionCentroidAccuracy,SiteID,SourceID,SourceDesc,MonitoringProgram,UnitID,Unit,SearchTypeID,SearchTypeDesc,ResponseVariableType,DataType,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,TimeSeriesLength,TimeSeriesSampleYears,TimeSeriesCompleteness,TimeSeriesSamplingEvenness,AbsencesRecorded,StandardisationOfMethodEffort,ObjectiveOfMonitoring,SpatialRepresentativeness,ConsistencyOfMonitoring,Management,ManagementCategory,ManagementCategoryComments,SuppressAggregatedData,SurveyCount,TimeSeriesID,NationalPriorityTaxa,Citation
79,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,266909,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,39,28,0.718,2.56,,,,,,No known management,Unknown,,0,28,363_2_4_266909_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
80,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,266910,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,,,60.0,100.0,30.0,2.0,0.0,,,,,0.0,0.0,0.0,,,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,31,0.738,1.138888889,,,,,,No known management,Unknown,,0,31,363_2_4_266910_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
87,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,266932,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,42,41,0.976,0.0,,,,,,No known management,Unknown,,0,41,363_2_4_266932_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
97,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,East Gippsland Lowlands,-37.75060845,148.9293261,52833.0,266989,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,2.0,,,,13,3,0.231,0.0,,,,,,No known management,Unknown,,0,3,363_2_4_266989_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
98,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,266990,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,41,23,0.561,5.1875,,,,,,No known management,Unknown,,0,23,363_2_4_266990_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
110,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,267060,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,36,6,0.167,24.75,,,,,,No known management,Unknown,,0,6,363_2_4_267060_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
114,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,267076,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,42,36,0.857,0.25,,,,,,No known management,Unknown,,0,36,363_2_4_267076_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
123,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,267196,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,0.0,3.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,41,14,0.341,4.234375,,,,,,No known management,Unknown,,0,14,363_2_4_267196_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
126,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,267219,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,41,0.976,0.0,,,,,,No known management,Unknown,,0,41,363_2_4_267219_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
142,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,267322,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,40,36,0.9,0.0,,,,,,No known management,Unknown,,0,36,363_2_4_267322_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
